learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,vote for class 0,vote for class 1,training queue size,recall0 Validation,recall1 Validation,time stamp,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
44.0,44.0,50.143260286557066,1.283476740530392,-77.09014701202562,-58.55592169199314,14.0,30.0,55.41486954926727,47.053074410947936,44.58513045073273,52.94692558905211,78.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,11.0,0.0,0.0,1.306615929E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45.0,45.0,51.51364925686065,2.988811861159676,-77.09014701202558,-58.55592169199314,14.0,31.0,55.41486954926727,49.0309448653013,44.58513045073273,50.969055134698735,78.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,11.0,0.0,0.0,1.306714126E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46.0,46.0,52.82346681492738,4.5645946785728455,-77.0901470120256,-58.55592169199315,14.0,32.0,55.41486954926727,50.884232531556606,44.58513045073273,49.11576746844344,78.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,11.0,0.0,0.0,1.3068621E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47.0,47.0,54.076580107162286,6.024976799762893,-77.09014701202565,-58.55592169199316,14.0,33.0,55.41486954926727,52.62426371241905,44.58513045073273,47.375736287581006,78.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,11.0,0.0,0.0,1.306864123E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48.0,48.0,55.2765340358619,7.382121173898805,-77.09014701202564,-58.5559216919931,14.0,34.0,55.41486954926727,54.26103222226002,44.58513045073273,45.73896777774002,88.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,11.0,0.0,0.0,1.306951215E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49.0,49.0,56.4265841412051,8.646539559496318,-77.09014701202562,-58.555921691993106,14.0,35.0,55.41486954926727,55.803389742552234,44.58513045073273,44.19661025744783,88.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,11.0,0.0,0.0,1.307079037E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,50.0,57.52972553740388,9.827363527159182,-77.09014701202564,-58.55592169199315,14.0,36.0,55.41486954926727,57.25920445139765,44.58513045073273,42.74079554860241,88.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,11.0,0.0,0.0,1.307121943E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51.0,51.0,58.58871844460004,10.932563784446144,-77.09014701202564,-58.5559216919931,14.0,37.0,55.41486954926727,58.63549392934726,44.58513045073273,41.36450607065278,88.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,11.0,0.0,0.0,1.307121996E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,52.0,57.14931085948503,7.446286780076354,-69.59427703948118,-53.40571867904777,15.0,37.0,51.45501403897777,58.63549392934726,48.54498596102223,41.36450607065278,90.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,12.0,0.0,0.0,1.307124174E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
53.0,53.0,58.18695022459741,8.558116888727415,-54.42688580017094,-53.40571867904775,15.0,38.0,51.45501403897777,59.93853708009017,48.54498596102223,40.06146291990985,90.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,12.0,0.0,0.0,1.307159726E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
